Mahalle,Erkek,Kadin,Toplam
GÖZTEPE,17.151,22.190,39.341
KOZYATAĞI,16.403,20.722,37.125
ERENKÖY,15.145,19.539,34.684
BOSTANCI,14.575,18.091,32.666
19 MAYIS,14.370,17.794,32.164
MERDİVENKÖY,13.976,17.238,31.214
SAHRAYICEDİT,13.801,16.458,30.259
ACIBADEM,13.231,15.570,28.801
SUADİYE,11.476,14.952,26.428
FENERYOLU,11.195,14.431,25.626
CAFERAĞA,9.640,11.781,21.421
FENERBAHÇE,9.222,11.650,20.872
CADDEBOSTAN,8.762,11.408,20.170
HASANPAŞA,7.282,9.028,16.310
EĞİTİM,6.423,7.136,13.559
RASİMPAŞA,6.038,6.303,12.341
FİKİRTEPE,6.239,5.996,12.235
DUMLUPINAR,4.989,5.092,10.081
ZÜHTÜPAŞA,3.633,4.522,8.155
OSMANAĞA,3.808,3.920,7.728
KOŞUYOLU,3.127,3.612,6.739
TOPLAM,210.486,257.433,467.919